Window Size,SampleRTT,EstimatedRTT,DevRTT,Time (t)
12,0.008888999931514,0.002795413369313,0.002443219767883,0.158138006925583
12,0.001036999979988,0.002575611695647,0.002217067638412,0.159112006425858
12,0.001047000056133,0.002384535269812,0.001997184706852,0.160042002797127
12,0.001008999999613,0.002212593331933,0.001798786805011,0.160973995923996
12,0.000950000016019,0.002054769080132,0.001625282340683,0.161869004368782
12,0.002333000069484,0.002089547924697,0.001279824762605,0.164103001356125
12,0.001564000034705,0.00202385452576,0.001074832165614,0.165133997797966
12,0.001383999944665,0.001943872659467,0.000946092302911,0.166411995887756
12,0.002155000111088,0.001970263663679,0.000755753368139,0.168461993336678
12,0.002175000030547,0.001995855709538,0.000611601106357,0.170470997691154
12,0.002080000005662,0.002006373601034,0.000477107387269,0.172462001442909
12,0.001989000011235,0.002004201989621,0.000361631042324,0.17433799803257
13,0.015886999666691,0.003739551641047,0.00330808525905,0.191683992743492
13,0.002030000090599,0.003525857813656,0.002855028491467,0.193624004721642
13,0.001974999904633,0.003332000458613,0.002480521565303,0.195460006594658
13,0.0023499999661,0.003209250513464,0.002075203694403,0.19768500328064
13,0.002442999975756,0.003113469108939,0.001724020112306,0.199992001056671
13,0.001913000014611,0.002963410457596,0.001555617665872,0.201780006289482
13,0.003319999901578,0.003007984254509,0.001244717277586,0.204661995172501
13,0.002008999930695,0.002883111126721,0.001152065698989,0.206547006964684
13,0.001245000050403,0.002678347285837,0.001222386141308,0.207661002874374
13,0.001670000026934,0.002552303951234,0.001137365587056,0.209185004234314
13,0.001450999989174,0.002414640970528,0.001093934406526,0.210527002811432
13,0.001019999966957,0.002240310888737,0.001125528477132,0.211406007409096
13,0.001190999988467,0.002109146909788,0.001073683146387,0.212580993771553
14,0.01579700037837,0.00382012850605,0.003799480153248,0.228457003831863
14,0.001047999947332,0.003473612479866,0.003456013277173,0.229414999485016
14,0.001170999952592,0.003185785841197,0.003095706459135,0.230515003204346
14,0.001241000019945,0.002942687598988,0.002747201826423,0.231661006808281
14,0.001625000033528,0.00277797668241,0.002348645590246,0.233248993754387
14,0.001267999992706,0.002589229727164,0.00209179148078,0.2343720048666
14,0.001175999990664,0.00241257599555,0.00187798764091,0.235466003417969
14,0.001128999982029,0.002252128906548,0.001689272932708,0.236524000763893
14,0.001247999956831,0.002126612933353,0.001486607943662,0.237681001424789
14,0.000976999988779,0.001982911257073,0.001366433803923,0.238556995987892
14,0.001047999947332,0.001866047270596,0.001229337183759,0.239524006843567
14,0.00092899997253,0.001748916460201,0.001126981922425,0.240376994013786
14,0.000929999980144,0.001646551885642,0.00102437438909,0.241239994764328
14,0.00084400002379,0.001546232844703,0.000943839026149,0.242008998990059
15,0.016325000673533,0.003393578808755,0.003940734546632,0.258774012327194
15,0.001016000052914,0.003096381435171,0.003475646255538,0.259705990552902
15,0.001134000020102,0.002851083641872,0.003036005655304,0.260737001895905
15,0.001844999962486,0.002725323196501,0.002497085137293,0.262540012598038
15,0.001197000034153,0.002534282859415,0.002207134617493,0.263572007417679
15,0.001108999946155,0.002356122480705,0.001967131625861,0.26459801197052
15,0.00115599995479,0.002206107135862,0.001737875398248,0.265673995018005
15,0.001913000014611,0.002169468905777,0.001367523800582,0.267533987760544
15,0.00186700001359,0.002131660236046,0.001091807847843,0.269275009632111
15,0.001597999944352,0.002064952626824,0.000935594085604,0.270729005336761
15,0.001190999988467,0.001955708488822,0.000892872689292,0.27181801199913
15,0.001084999996237,0.001846870058216,0.000860122032464,0.272794991731644
15,0.000906999979634,0.001729386276566,0.000850688084029,0.27360600233078
15,0.000844999973197,0.001618837937713,0.000831475539599,0.274390012025833
15,0.000893999997061,0.001528233173303,0.000782164977863,0.275214999914169
16,0.017501000314951,0.003524829167873,0.00408066669479,0.292659997940063
16,0.00186700001359,0.003317600348964,0.003423149930313,0.294414013624191
16,0.001917000045069,0.003142525441945,0.002873743884265,0.296176999807358
16,0.002073999959975,0.003008959814906,0.002389047760516,0.29814401268959
16,0.002186999889091,0.00290621467866,0.001971589634195,0.300045013427734
16,0.002014999976382,0.002794812899083,0.001673645339906,0.301966995000839
16,0.001795000047423,0.002669836394489,0.0014739431208,0.303613990545273
16,0.001591000007465,0.002534981817007,0.001341452822089,0.305043995380402
16,0.001800999976695,0.002443233970553,0.001166648115031,0.306786000728607
16,0.001285000005737,0.002298454754055,0.001128349802457,0.307904005050659
16,0.000862999993842,0.0021190228872,0.001160268089734,0.308705002069473
16,0.00084799999604,0.001960145076737,0.001148237264715,0.309475004673004
16,0.000957000011113,0.001834751921706,0.001080615911633,0.310387998819351
16,0.001047999947332,0.001736407983117,0.000982563942671,0.311304003000259
16,0.001300000003539,0.001681856927462,0.000832387187984,0.312510013580322
16,0.0008670000243,0.001579999807291,0.000802540336736,0.313308000564575
17,0.019054999575019,0.00376437488012,0.004424561746418,0.332358986139297
17,0.001810000045225,0.003520078025758,0.00374594074674,0.334048986434937
17,0.001850000000559,0.003311318345368,0.003174785058945,0.335777997970581
17,0.002047999994829,0.003153403522447,0.002657439559698,0.337702989578247
17,0.001851000008173,0.002990602981299,0.002277980558574,0.339415997266769
17,0.001965000061318,0.002862402703613,0.001932836021297,0.341257005929947
17,0.001795000047423,0.002728977240622,0.001683121314272,0.342925995588303
17,0.001968000084162,0.00263385521248,0.001428804825991,0.344772011041641
17,0.002184000099078,0.002577623352408,0.001170009374619,0.346850991249084
17,0.002033000113443,0.002509545302019,0.000996643444523,0.348655998706818
17,0.002208000048995,0.002471852116287,0.000813445600215,0.350742995738983
17,0.001522999955341,0.002353245625272,0.000817645632196,0.352115988731384
17,0.001118000014685,0.002198840025812,0.000883444212377,0.353112995624542
17,0.00089600001229,0.002035985002294,0.000947579392232,0.353927999734879
17,0.000926000007894,0.001897236797959,0.000953493756242,0.35479399561882
17,0.000841000000946,0.001765207271092,0.000946172105614,0.355576992034912
17,0.000865000009071,0.001652681385167,0.000906549452338,0.356359988451004
18,0.011598000302911,0.002895846264437,0.002855450613424,0.368434011936188
18,0.001021999982186,0.002661615377292,0.002551491837949,0.369374006986618
18,0.001111999968998,0.002467913553119,0.002252597128972,0.370404988527298
18,0.000946999993175,0.002277799183503,0.002022147644311,0.371275991201401
18,0.001106000039727,0.002131324261427,0.001772941905074,0.372314006090164
18,0.001168000046164,0.002010908909142,0.001540433615446,0.373403012752533
18,0.000921000028029,0.001874670269899,0.001393742742948,0.374249011278152
18,0.001029000035487,0.00176896143239,0.001230297377333,0.375203013420105
18,0.00119400001131,0.001697091269307,0.001048495876603,0.376320987939835
18,0.000989999971353,0.00160870491527,0.000941048143432,0.377223014831543
18,0.00098600005731,0.001530866720714,0.000842002802528,0.378125995397568
18,0.000916999997571,0.001454133423977,0.000765785458498,0.378996998071671
18,0.001020999974571,0.001399991684593,0.000669086992275,0.379956990480423
18,0.001069999998435,0.001358742709272,0.000574000936467,0.380977004766464
18,0.001136000035331,0.001330899889581,0.000479225680465,0.382030010223389
18,0.001206999993883,0.001315412460826,0.00038652238436,0.383165001869202
18,0.001247999956831,0.001306985854171,0.000304638262605,0.384375005960464
18,0.001927000004798,0.001384487608448,0.000364106788766,0.386173009872437
19,0.020619999617338,0.003788926638663,0.004480848554522,0.40700900554657
19,0.001971000107005,0.003561685793102,0.003758307779208,0.408847987651825
19,0.001944000017829,0.003359475173056,0.003172599710524,0.410652011632919
19,0.001860999967903,0.003172165714204,0.002707241103053,0.412391990423203
19,0.001780000049621,0.002998145064339,0.002334967022762,0.414052993059158
19,0.002249999903142,0.00290462677367,0.001914882101119,0.416182994842529
19,0.001221999991685,0.002694298513234,0.001804236206226,0.417237997055054
19,0.001062000053935,0.002490261103958,0.001710242475383,0.418228000402451
19,0.000992999994196,0.002303103450686,0.00161020772066,0.419140011072159
19,0.000901999999769,0.002127965679392,0.001514147152193,0.419977009296417
19,0.000906999979634,0.001975344959646,0.001402696594596,0.420821011066437
19,0.000983000034466,0.001851301756687,0.001269097905606,0.421739995479584
19,0.000976999988779,0.001742014079355,0.001143076922745,0.422650992870331
19,0.000997000024654,0.001648887293413,0.00102027959656,0.423581004142761
19,0.00089000002481,0.001554026384838,0.000931216229219,0.424378007650375
19,0.000897000019904,0.001471898052841,0.000842136738356,0.425188988447189
19,0.001059000031091,0.001420285785571,0.000721924006939,0.426192998886108
19,0.000898999976926,0.001355125103146,0.000655474257655,0.427024990320206
19,0.001025000005029,0.001313859480433,0.000563820591196,0.42799100279808
20,0.022634999826551,0.003979002125561,0.005086864810437,0.450717985630035
20,0.001977999927476,0.003728876821697,0.004252867773175,0.452578991651535
20,0.002106999978423,0.003526142099872,0.003544436534867,0.454546988010407
20,0.001943000010215,0.003328249324113,0.003004639642313,0.456378012895584
20,0.001953999977559,0.003156468272209,0.00255409674719,0.458213001489639
20,0.002129999920726,0.003028159728274,0.002140112454072,0.460215002298355
20,0.002588999923319,0.002973264781758,0.001701150555164,0.462493985891342
20,0.001954999985173,0.002845981623977,0.001498608384281,0.464302986860275
20,0.001954999985173,0.002734608948231,0.001318858470768,0.466134995222092
20,0.00211300002411,0.002656907774508,0.001125120790675,0.468122988939285
20,0.001341999974102,0.00249254424125,0.001131476718001,0.469337999820709
20,0.000933000002988,0.002297601196915,0.001189757836983,0.470183998346329
20,0.001023999997415,0.002138401148841,0.001170918694697,0.471141010522842
20,0.001152000040747,0.002015101024881,0.001093964208849,0.47222900390625
20,0.000926000007894,0.001878963317722,0.001058713998646,0.473091989755631
20,0.001163000008091,0.00178946799133,0.000950652523898,0.474204003810883
20,0.001282999990508,0.001726159476675,0.000823779264465,0.475349009037018
20,0.001164000015706,0.001655889558606,0.00074080680497,0.476375013589859
20,0.00098600005731,0.001572153298184,0.000702143472154,0.477268993854523
20,0.000841000000946,0.001480759121478,0.000686547369696,0.478044003248215
21,0.016882000491023,0.003405914176255,0.003883932018653,0.495094001293182
21,0.002158999908715,0.003250049892813,0.003185711568221,0.497047007083893
21,0.001825000043027,0.003071918850765,0.002701013348997,0.498793989419937
21,0.002264000009745,0.00297092879191,0.002202492207289,0.50094997882843
21,0.002374999923632,0.002896437887102,0.001782228588127,0.503103971481323
21,0.002370999893174,0.002830757992342,0.001451610936783,0.505293011665344
21,0.001026000012644,0.002605163259432,0.001483499072492,0.506223022937775
21,0.001056000008248,0.002411517780274,0.001451503718272,0.50721001625061
21,0.001567000057548,0.002305953064933,0.001273366156966,0.508635997772217
21,0.002212000079453,0.002294209087268,0.00097557681147,0.510766983032227
21,0.001016000052914,0.00213443278335,0.001011290820315,0.511699020862579
21,0.000960999983363,0.0019877536688,0.001015156623907,0.512592017650604
